"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"conventional combustion turbine"	"kerosene"	2013	0.8	1	0.8	0	12440.2201971214	0.0742206316858793	NA	13758.3938386386	NA	NA
"conventional combustion turbine"	"kerosene"	2014	2	4	0.5	0	14743.718411694	0.077343822919563	NA	14269.8028468151	NA	NA
"conventional combustion turbine"	"natural gas"	1990	494.148	12	41.179	0	13264.7477295661	0.0900469774482965	NA	13618.6299961248	NA	NA
"conventional combustion turbine"	"natural gas"	1991	717.843	10	71.7843	0	13010.844894027	0.0920218405593991	NA	13579.3250184866	2.153	29.2362867648018
"conventional combustion turbine"	"natural gas"	1992	976.82	20	48.841	0	12902.4509259259	0.0828695615848637	NA	13539.7480501907	2.328	31.5205334608439
"conventional combustion turbine"	"natural gas"	1993	452.191	10	45.2191	0	12873.618705036	0.105485753811003	NA	13499.8990912369	2.56	34.5597416735664
"conventional combustion turbine"	"natural gas"	1994	1933.335	31	62.3656451612903	0	12980.6186579378	0.0860701057005129	NA	13459.7781416252	2.23	30.0153052558242
"conventional combustion turbine"	"natural gas"	1995	1594.144	24	66.4226666666667	0	13025.5861003861	0.101422252023762	NA	13419.3852013556	1.984	26.6240602394896
"conventional combustion turbine"	"natural gas"	1996	1565.87	33	47.4506060606061	0	NA	0.155451024459145	NA	13378.7202704283	2.64	35.3198215139306
"conventional combustion turbine"	"natural gas"	1997	1248.7	13	96.0538461538462	0	NA	0.100072788308239	NA	13337.783348843	2.76	36.8122820428067
"conventional combustion turbine"	"natural gas"	1998	652.846	11	59.3496363636364	0	NA	0.113454325775039	NA	13296.5744365999	2.38	31.6458471591078
"conventional combustion turbine"	"natural gas"	1999	2151.772	30	71.7257333333333	0	NA	0.116261845321056	NA	13255.093533699	2.57	34.0655903816063
"conventional combustion turbine"	"natural gas"	2000	5024.312	61	82.3657704918033	0	NA	NA	NA	13213.3406401402	4.3	56.8173647526026
"conventional combustion turbine"	"natural gas"	2001	19516.01	325	60.0492615384615	0	13022.5369275849	0.280285134218455	NA	13171.3157559235	4.49	59.1392077440965
"conventional combustion turbine"	"natural gas"	2002	20889.2	336	62.1702380952381	0	13318.852377548	0.259164940680521	NA	13129.018881049	3.68	48.3147894822602
"conventional combustion turbine"	"natural gas"	2003	9377.45	146	64.2291095890411	0	13285.7285747786	0.228213184084544	NA	13086.4500155166	5.59	73.1532555867377
"conventional combustion turbine"	"natural gas"	2004	2727.28	52	52.4476923076923	0	15287.4088166564	0.235431910415308	NA	13043.6091593264	6.15	80.2181963298571
"conventional combustion turbine"	"natural gas"	2005	2865.27	55	52.0958181818182	0	13185.6755950598	0.237447937418268	NA	13000.4963124783	8.32	108.164129319819
"conventional combustion turbine"	"natural gas"	2006	1242.27	110	11.2933636363636	0	13356.5731501484	0.24150957556427	NA	12957.1114749723	7.36	95.3643404557964
"conventional combustion turbine"	"natural gas"	2007	2648.4	160	16.5525	0	13369.5211631036	0.238663545836864	NA	12913.4546468085	7.47	96.4635062116597
"conventional combustion turbine"	"natural gas"	2008	3262.6	199	16.3949748743719	0	13767.7942661754	0.248470731444034	NA	12869.5258279869	9.22	118.657028134039
"conventional combustion turbine"	"natural gas"	2009	2704.2	137	19.7386861313869	0	13230.7503183806	0.249438734907147	NA	12825.3250185074	5.5	70.5392876017905
"conventional combustion turbine"	"natural gas"	2010	2041.5	162	12.6018518518519	0	13002.4862180536	0.261499744277731	NA	12780.85221837	5.43	69.4000275457491
"conventional combustion turbine"	"natural gas"	2011	1851.8	127	14.5811023622047	0	12822.4805786174	0.260725365065032	NA	12736.1074275748	5	63.6805371378739
"conventional combustion turbine"	"natural gas"	2012	2443	137	17.8321167883212	0	12391.9986813712	0.278639661613883	NA	12691.0906461217	3.74	47.4646790164952
"conventional combustion turbine"	"natural gas"	2013	3637.4	133	27.3488721804511	0	12161.0705733327	0.284103222354424	NA	12645.8018740108	4.49	56.7796504143084
"conventional combustion turbine"	"natural gas"	2014	878.2	110	7.98363636363636	0	12647.0710585113	0.293065783969546	NA	12600.241111242	5.17	65.1432465451211
"conventional combustion turbine"	"natural gas"	2050	NA	NA	NA	NA	8978.94736842105	NA	0.38	10778.907873434	NA	NA
"conventional combustion turbine"	"natural gas"	2100	NA	NA	NA	NA	8123.80952380952	NA	0.42	7664.4984620894	NA	NA
"conventional combustion turbine"	"oil"	1990	427.365	34	12.5695588235294	0	12317.2148217636	0.0903522010915356	NA	12607.673364967	NA	NA
"conventional combustion turbine"	"oil"	1991	368.712	38	9.70294736842105	0	12478.2285714286	0.0906957128549861	NA	12605.7472776954	2.548	32.1194440635678
"conventional combustion turbine"	"oil"	1992	432.103	54	8.00190740740741	0	12043.4255992763	0.0861268124245838	NA	12602.9623108868	2.551	32.1501568550722
"conventional combustion turbine"	"oil"	1993	150.386	47	3.19970212765957	0	12112.6180594504	0.106792721097699	NA	12599.3184645412	2.433	30.6541418242288
"conventional combustion turbine"	"oil"	1994	82.126	25	3.28504	0	12148.9530129125	0.0921724285837488	NA	12594.8157386587	2.488	31.3359015577828
"conventional combustion turbine"	"oil"	1995	929.393	34	27.3350882352941	0	12059.8017209128	0.0880866091926279	NA	12589.4541332392	2.679	33.7271476229478
"conventional combustion turbine"	"oil"	1996	282.656	23	12.2893913043478	0	NA	0.12474499185929	NA	12583.2336482827	3.16	39.7630183285734
"conventional combustion turbine"	"oil"	1997	176.385	24	7.349375	0	NA	0.0915978468605875	NA	12576.1542837893	2.88	36.2193243373131
"conventional combustion turbine"	"oil"	1998	121.417	49	2.47789795918367	0	NA	0.0987875671283586	NA	12568.2160397589	2.14	26.895982325084
"conventional combustion turbine"	"oil"	1999	206.137	96	2.14726041666667	0	NA	0.0979246854078364	NA	12559.4189161915	2.53	31.7753298579645
"conventional combustion turbine"	"oil"	2000	381.984	154	2.48041558441558	0	NA	NA	NA	12549.7629130871	4.45	55.8464449632378
"conventional combustion turbine"	"oil"	2001	2270.42	129	17.6001550387597	0	14415.3926151233	0.111209469555233	NA	12539.2480304458	3.92	49.1538522793476
"conventional combustion turbine"	"oil"	2002	354.02	132	2.6819696969697	0	13454.6214017324	0.0897897135712953	NA	12527.8742682675	3.74	46.8542497633205
"conventional combustion turbine"	"oil"	2003	341.08	88	3.87590909090909	0	10682.9924863384	0.0821566217073623	NA	12515.6416265523	4.68	58.5732028122646
"conventional combustion turbine"	"oil"	2004	189.9	65	2.92153846153846	0	12338.2697273274	0.0753118755062675	NA	12502.5501053	4.8	60.0122405054401
"conventional combustion turbine"	"oil"	2005	125.03	58	2.15568965517241	0	12761.9176631181	0.078643404642553	NA	12488.5997045108	7.17	89.5432598813426
"conventional combustion turbine"	"oil"	2006	162	53	3.05660377358491	0	12609.4976639383	0.0733023381125873	NA	12473.7904241847	8.33	103.906674233458
"conventional combustion turbine"	"oil"	2007	88.6	47	1.88510638297872	0	12040.0308403164	0.0741236761497821	NA	12458.1222643215	9.24	115.113049722331
"conventional combustion turbine"	"oil"	2008	56.4	34	1.65882352941176	0	12346.6282381155	0.068400597519053	NA	12441.5952249214	15.72	195.581876935764
"conventional combustion turbine"	"oil"	2009	145.3	24	6.05416666666667	0	12010.8249649965	0.0615916141637504	NA	12424.2093059843	10.44	129.708745154476
"conventional combustion turbine"	"oil"	2010	94.7	48	1.97291666666667	0	12562.4790904355	0.0620286912250721	NA	12405.9645075103	13.94	172.939145234693
"conventional combustion turbine"	"oil"	2011	96.4	46	2.09565217391304	0	12690.75484785	0.0573748727699035	NA	12386.8608294992	20.3	251.453274838835
"conventional combustion turbine"	"oil"	2012	50.2	34	1.47647058823529	0	12308.2941104865	0.0550179740093843	NA	12366.8982719513	22.11	273.432120792842
"conventional combustion turbine"	"oil"	2013	60.7	26	2.33461538461538	0	14279.6555178746	0.0596737292910534	NA	12346.0768348663	21.09	260.37876044733
"conventional combustion turbine"	"oil"	2014	60	24	2.5	0	13855.6471390742	0.0528327231381019	NA	12324.3965182444	19.9	245.255490713063
"conventional combustion turbine"	"oil"	2050	NA	NA	NA	NA	8748.71794871795	NA	0.39	10971.8913482329	NA	NA
"conventional combustion turbine"	"oil"	2100	NA	NA	NA	NA	7754.54545454545	NA	0.44	7246.82094095383	NA	NA
"conventional combustion turbine"	"propane"	1990	0	NA	NA	NA	NA	NA	NA	-58796.7084754624	NA	NA
"conventional combustion turbine"	"propane"	1991	0	NA	NA	NA	NA	NA	NA	-52794.4744963121	NA	NA
"conventional combustion turbine"	"propane"	1992	0	NA	NA	NA	NA	NA	NA	-47064.6743910167	NA	NA
"conventional combustion turbine"	"propane"	1993	0	NA	NA	NA	NA	NA	NA	-41607.308159576	NA	NA
"conventional combustion turbine"	"propane"	1994	0	NA	NA	NA	NA	NA	NA	-36422.3758019901	NA	NA
"conventional combustion turbine"	"propane"	1995	0	NA	NA	NA	NA	NA	NA	-31509.877318259	NA	NA
"conventional combustion turbine"	"propane"	1996	0	NA	NA	NA	NA	NA	NA	-26869.8127083827	NA	NA
"conventional combustion turbine"	"propane"	1997	0	NA	NA	NA	NA	NA	NA	-22502.1819723611	NA	NA
"conventional combustion turbine"	"propane"	1998	0	NA	NA	NA	NA	NA	NA	-18406.9851101944	NA	NA
"conventional combustion turbine"	"propane"	1999	0	NA	NA	NA	NA	NA	NA	-14584.2221218824	NA	NA
"conventional combustion turbine"	"propane"	2000	0	NA	NA	NA	NA	NA	NA	-11033.8930074253	NA	NA
"conventional combustion turbine"	"propane"	2001	0	NA	NA	NA	NA	NA	NA	-7755.99776682289	NA	NA
"conventional combustion turbine"	"propane"	2002	0	NA	NA	NA	NA	NA	NA	-4750.5364000753	NA	NA
"conventional combustion turbine"	"propane"	2003	0	NA	NA	NA	NA	NA	NA	-2017.50890718252	NA	NA
"conventional combustion turbine"	"propane"	2004	0	NA	NA	NA	NA	NA	NA	443.084711855481	NA	NA
"conventional combustion turbine"	"propane"	2005	0	NA	NA	NA	NA	NA	NA	2631.2444570387	NA	NA
